Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
60	:	1534338648.878	     0.772	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_62.out --out_folder ./output3_postprocessed
57	:	1534338648.871	     0.815	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_5.out --out_folder ./output3_postprocessed
58	:	1534338648.874	     0.868	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_60.out --out_folder ./output3_postprocessed
63	:	1534338648.984	     0.799	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_65.out --out_folder ./output3_postprocessed
65	:	1534338649.035	     0.769	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_67.out --out_folder ./output3_postprocessed
61	:	1534338648.907	     0.955	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_63.out --out_folder ./output3_postprocessed
62	:	1534338648.927	     0.944	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_64.out --out_folder ./output3_postprocessed
66	:	1534338649.043	     0.844	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_68.out --out_folder ./output3_postprocessed
67	:	1534338649.045	     0.845	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_69.out --out_folder ./output3_postprocessed
68	:	1534338649.112	     0.795	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_6.out --out_folder ./output3_postprocessed
69	:	1534338649.183	     0.740	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_70.out --out_folder ./output3_postprocessed
70	:	1534338649.185	     0.766	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_71.out --out_folder ./output3_postprocessed
71	:	1534338649.245	     0.713	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_72.out --out_folder ./output3_postprocessed
72	:	1534338649.296	     0.680	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_73.out --out_folder ./output3_postprocessed
73	:	1534338649.303	     0.687	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_74.out --out_folder ./output3_postprocessed
76	:	1534338649.394	     0.609	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_77.out --out_folder ./output3_postprocessed
75	:	1534338649.362	     0.716	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_76.out --out_folder ./output3_postprocessed
78	:	1534338649.507	     0.621	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_79.out --out_folder ./output3_postprocessed
79	:	1534338649.595	     0.542	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_7.out --out_folder ./output3_postprocessed
74	:	1534338649.351	     0.803	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_75.out --out_folder ./output3_postprocessed
77	:	1534338649.396	     0.779	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_78.out --out_folder ./output3_postprocessed
80	:	1534338649.624	     0.598	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_80.out --out_folder ./output3_postprocessed
82	:	1534338649.661	     0.565	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_82.out --out_folder ./output3_postprocessed
81	:	1534338649.642	     0.627	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_81.out --out_folder ./output3_postprocessed
86	:	1534338649.863	     0.420	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_86.out --out_folder ./output3_postprocessed
83	:	1534338649.743	     0.565	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_83.out --out_folder ./output3_postprocessed
85	:	1534338649.805	     0.530	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_85.out --out_folder ./output3_postprocessed
84	:	1534338649.783	     0.582	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_84.out --out_folder ./output3_postprocessed
87	:	1534338649.871	     0.544	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_87.out --out_folder ./output3_postprocessed
90	:	1534338649.907	     0.521	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_8.out --out_folder ./output3_postprocessed
89	:	1534338649.890	     0.550	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_89.out --out_folder ./output3_postprocessed
92	:	1534338649.950	     0.497	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_91.out --out_folder ./output3_postprocessed
88	:	1534338649.887	     0.580	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_88.out --out_folder ./output3_postprocessed
96	:	1534338650.004	     0.466	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_95.out --out_folder ./output3_postprocessed
91	:	1534338649.923	     0.580	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_90.out --out_folder ./output3_postprocessed
93	:	1534338649.958	     0.565	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_92.out --out_folder ./output3_postprocessed
98	:	1534338650.129	     0.414	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_97.out --out_folder ./output3_postprocessed
95	:	1534338649.991	     0.562	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_94.out --out_folder ./output3_postprocessed
94	:	1534338649.976	     0.578	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_93.out --out_folder ./output3_postprocessed
97	:	1534338650.078	     0.500	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_96.out --out_folder ./output3_postprocessed
99	:	1534338650.138	     0.454	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_98.out --out_folder ./output3_postprocessed
101	:	1534338650.175	     0.437	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_9.out --out_folder ./output3_postprocessed
100	:	1534338650.155	     0.462	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_99.out --out_folder ./output3_postprocessed
3	:	1534338647.318	    68.269	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_10.out --out_folder ./output3_postprocessed
